name, uuid, memory.total [MiB], driver_version, power.limit [W]
NVIDIA B300 SXM6 AC, GPU-8da15b39-5497-c4a9-0f9b-23215fee4f18, 275040 MiB, 610.57.04, 1100.00 W
NVIDIA B300 SXM6 AC, GPU-e6a3fe19-66a5-ad56-218a-385b1c4144d5, 275040 MiB, 610.57.04, 1100.00 W
NVIDIA B300 SXM6 AC, GPU-e8483fad-f710-8d8e-d8ca-53a9d5cf3cf3, 275040 MiB, 610.57.04, 1100.00 W
NVIDIA B300 SXM6 AC, GPU-a8167276-d871-d6df-7038-be95bc62cc2c, 275040 MiB, 610.57.04, 1100.00 W
NVIDIA B300 SXM6 AC, GPU-040a42ac-ac46-cd4a-7086-d8471056b6a6, 275040 MiB, 610.57.04, 1100.00 W
NVIDIA B300 SXM6 AC, GPU-e4d7f096-00ad-b3b0-f40d-bd663eed0ce0, 275040 MiB, 610.57.04, 1100.00 W
NVIDIA B300 SXM6 AC, GPU-47e80be8-ea30-761d-fd15-9b89db90dc2d, 275040 MiB, 610.57.04, 1100.00 W
NVIDIA B300 SXM6 AC, GPU-e65bf455-ccea-50f3-7ed4-2b4ca06aef86, 275040 MiB, 610.57.04, 1100.00 W
