HuggingFaceID,Architecture,System,Backend,Version,Mode,Status,ErrMsg,Command,Source,FPMProbeCount,FPMTopologyCount,FPMStatusCounts,FPMPhaseLatencyMs,SourceSHA
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,gb300,trtllm,1.3.0rc10,agg,FAIL,"Strict-native FPM probes: BUILD_FAILED=24, PERF_DATA_MISSING=92; raw probes=116; topologies=29; source_sha=c52846aef611796a33ad855649b3b2863e431b46. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""gb300"" --backend ""trtllm"" --backend-version ""1.3.0rc10"" --forward-model fpm --max-workers 8",,116,29,"BUILD_FAILED=24, PERF_DATA_MISSING=92",,c52846aef611796a33ad855649b3b2863e431b46
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,gb300,trtllm,1.3.0rc10,disagg,FAIL,"Strict-native FPM probes: BUILD_FAILED=24, PERF_DATA_MISSING=92; raw probes=116; topologies=29; source_sha=c52846aef611796a33ad855649b3b2863e431b46. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""gb300"" --backend ""trtllm"" --backend-version ""1.3.0rc10"" --forward-model fpm --max-workers 8",,116,29,"BUILD_FAILED=24, PERF_DATA_MISSING=92",,c52846aef611796a33ad855649b3b2863e431b46
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,gb300,trtllm,1.3.0rc15,agg,FAIL,"Strict-native FPM probes: BUILD_FAILED=24, PERF_DATA_MISSING=92; raw probes=116; topologies=29; source_sha=c52846aef611796a33ad855649b3b2863e431b46. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""gb300"" --backend ""trtllm"" --backend-version ""1.3.0rc15"" --forward-model fpm --max-workers 8",,116,29,"BUILD_FAILED=24, PERF_DATA_MISSING=92",,c52846aef611796a33ad855649b3b2863e431b46
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,gb300,trtllm,1.3.0rc15,disagg,FAIL,"Strict-native FPM probes: BUILD_FAILED=24, PERF_DATA_MISSING=92; raw probes=116; topologies=29; source_sha=c52846aef611796a33ad855649b3b2863e431b46. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""gb300"" --backend ""trtllm"" --backend-version ""1.3.0rc15"" --forward-model fpm --max-workers 8",,116,29,"BUILD_FAILED=24, PERF_DATA_MISSING=92",,c52846aef611796a33ad855649b3b2863e431b46
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,gb300,trtllm,1.3.0rc20,agg,FAIL,"Strict-native FPM probes: BUILD_FAILED=24, PERF_DATA_MISSING=92; raw probes=116; topologies=29; source_sha=c52846aef611796a33ad855649b3b2863e431b46. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""gb300"" --backend ""trtllm"" --backend-version ""1.3.0rc20"" --forward-model fpm --max-workers 8",,116,29,"BUILD_FAILED=24, PERF_DATA_MISSING=92",,c52846aef611796a33ad855649b3b2863e431b46
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,gb300,trtllm,1.3.0rc20,disagg,FAIL,"Strict-native FPM probes: BUILD_FAILED=24, PERF_DATA_MISSING=92; raw probes=116; topologies=29; source_sha=c52846aef611796a33ad855649b3b2863e431b46. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""gb300"" --backend ""trtllm"" --backend-version ""1.3.0rc20"" --forward-model fpm --max-workers 8",,116,29,"BUILD_FAILED=24, PERF_DATA_MISSING=92",,c52846aef611796a33ad855649b3b2863e431b46
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,gb300,trtllm,1.3.0rc23,agg,FAIL,"Strict-native FPM probes: BUILD_FAILED=24, PERF_DATA_MISSING=92; raw probes=116; topologies=29; source_sha=c52846aef611796a33ad855649b3b2863e431b46. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""gb300"" --backend ""trtllm"" --backend-version ""1.3.0rc23"" --forward-model fpm --max-workers 8",,116,29,"BUILD_FAILED=24, PERF_DATA_MISSING=92",,c52846aef611796a33ad855649b3b2863e431b46
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,gb300,trtllm,1.3.0rc23,disagg,FAIL,"Strict-native FPM probes: BUILD_FAILED=24, PERF_DATA_MISSING=92; raw probes=116; topologies=29; source_sha=c52846aef611796a33ad855649b3b2863e431b46. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""gb300"" --backend ""trtllm"" --backend-version ""1.3.0rc23"" --forward-model fpm --max-workers 8",,116,29,"BUILD_FAILED=24, PERF_DATA_MISSING=92",,c52846aef611796a33ad855649b3b2863e431b46
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,gb300,vllm,0.1.dev19262,agg,FAIL,"Strict-native FPM probes: BUILD_FAILED=36, PERF_DATA_MISSING=80; raw probes=116; topologies=29; source_sha=c52846aef611796a33ad855649b3b2863e431b46. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""gb300"" --backend ""vllm"" --backend-version ""0.1.dev19262"" --forward-model fpm --max-workers 8",,116,29,"BUILD_FAILED=36, PERF_DATA_MISSING=80",,c52846aef611796a33ad855649b3b2863e431b46
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,gb300,vllm,0.1.dev19262,disagg,FAIL,"Strict-native FPM probes: BUILD_FAILED=36, PERF_DATA_MISSING=80; raw probes=116; topologies=29; source_sha=c52846aef611796a33ad855649b3b2863e431b46. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""gb300"" --backend ""vllm"" --backend-version ""0.1.dev19262"" --forward-model fpm --max-workers 8",,116,29,"BUILD_FAILED=36, PERF_DATA_MISSING=80",,c52846aef611796a33ad855649b3b2863e431b46
