name, uuid, memory.total [MiB], driver_version, power.limit [W]
NVIDIA B200, GPU-681a378c-9967-0edf-3943-b009e5595378, 183359 MiB, 610.57.04, 1000.00 W
NVIDIA B200, GPU-f362e9ae-1176-2fdc-bc5f-44f36e3f008b, 183359 MiB, 610.57.04, 1000.00 W
NVIDIA B200, GPU-12fd6dd7-3383-bd42-35f5-31ce1246a7b2, 183359 MiB, 610.57.04, 1000.00 W
NVIDIA B200, GPU-bf38f101-598c-c6a6-4396-7a12a540e9b0, 183359 MiB, 610.57.04, 1000.00 W
NVIDIA B200, GPU-18e03214-c1f8-c0cc-2376-566dd06569da, 183359 MiB, 610.57.04, 1000.00 W
NVIDIA B200, GPU-a614b617-6398-7625-f7e1-08fd2ec48ca6, 183359 MiB, 610.57.04, 1000.00 W
NVIDIA B200, GPU-30d73ef0-1aa5-e1c9-bd4a-2c000df06cde, 183359 MiB, 610.57.04, 1000.00 W
NVIDIA B200, GPU-303952f7-5df8-2cb3-91d7-e18ea6249e44, 183359 MiB, 610.57.04, 1000.00 W
