mode,physical_run_id,scenario,metric,complete_trials,predicted_trials,observed_mean,predicted_mean,mape_percent,wape_percent,ratio_error_ci95_low,ratio_error_ci95_high
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,boundary-129,output_tokens_per_second,73,73,5.8430110603309355,872.7476465486448,14844.015204778976,14836.607812945234,14779.460308286265,14919.88594243219
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,boundary-129,ttft_ms,73,73,348.6857215479452,9.939378,97.14933041275245,97.14947375651766,-97.1542432089879,-97.14497607970686
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,boundary-129,average_tpot_ms,73,73,159.37699950776255,0.5398406,99.66106400101684,99.66128073582306,-99.6636979939158,-99.65960832472223
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,boundary-129,exact_itl_ms,73,73,159.37699950776255,0.5398406,99.66106400101684,99.66128073582306,-99.6636979939158,-99.65960832472223
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,boundary-129,request_latency_ms,73,73,2739.6894793561646,18.036987,99.34131053414971,99.34164119197047,-99.34576637388679,-99.3387697224304
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,boundary-129,last_token_latency_ms,73,73,2739.3407141643834,18.036987,99.34122668317617,99.3415573715699,-99.34568221120212,-99.33868411428331
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-single-192,output_tokens_per_second,73,73,6.040540295495907,1179.4124284869115,19438.906946502855,19424.949272606187,19326.17505591897,19546.766604225766
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-single-192,ttft_ms,73,73,361.0095478493151,10.090104,97.15494359961235,97.20503126299262,-97.33641215993018,-97.10924707239063
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-single-192,average_tpot_ms,73,73,159.3551439385771,0.5399190322580647,99.6609796182334,99.66118506192295,-99.66349913511972,-99.65955587033248
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-single-192,exact_itl_ms,73,73,159.3551439385771,0.5399190322580647,99.6609796182334,99.66118506192295,-99.66349913511972,-99.65955587033248
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-single-192,request_latency_ms,73,73,5301.343674780822,26.827594000000005,99.49358386691186,99.49394727741152,-99.49745286686918,-99.49106160923152
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,heldout-single-192,last_token_latency_ms,73,73,5301.019009945206,26.827594000000005,99.49355289241947,99.4939162838377,-99.49742259072251,-99.49103011096719
