mode,scenario,metric,unit,observed_trials,predicted_trials,all_observed_mean,matched_observed_mean,predicted_mean,ratio_error_percent,mape_percent,wape_percent,ratio_error_ci95_low,ratio_error_ci95_high
hybrid,boundary-128,request_latency_ms,ms,40,40,2690.7262201,2690.7262201,2392.031719,-11.100887889251654,11.055832799019775,11.100887889251666,-11.828545353995997,-10.67393324282205
hybrid,boundary-128,last_token_latency_ms,ms,40,40,2690.3748022,2690.3748022,2392.031719,-11.089275849448033,11.044214563998766,11.08927584944804,-11.817037160545361,-10.66212821704905
hybrid,boundary-128,exact_itl_ms,ms,40,40,156.33202204166668,156.33202204166668,135.36235033333332,-13.413548570838785,13.357285387992604,13.413548570838781,-14.219706467364647,-12.943176874843727
hybrid,boundary-129,ttft_ms,ms,40,40,344.770812,344.770812,359.264744,4.203932437296931,4.2060811645622,4.203932437296925,4.057349632050333,4.349166682550173
hybrid,boundary-129,average_tpot_ms,ms,40,40,157.591647425,157.591647425,135.39208026666668,-14.086766349021374,13.932620166512049,14.086766349021387,-15.36001337745303,-12.98872325341547
hybrid,boundary-129,output_tokens_per_second,tokens/s,40,40,5.914472996075211,5.914472996075211,6.693343370189,13.168888836429549,13.326540956631904,13.16888883642955,12.074720665689318,14.513390660003488
hybrid,boundary-129,request_latency_ms,ms,40,40,2708.997087675,2708.997087675,2390.145948,-11.77008056323362,11.647164586721345,11.770080563233622,-12.922077160164447,-10.786192520349505
hybrid,boundary-129,last_token_latency_ms,ms,40,40,2708.645523375,2708.645523375,2390.145948,-11.758628902394964,11.635712668963759,11.758628902394962,-12.910744701780557,-10.774668354375258
hybrid,boundary-129,exact_itl_ms,ms,40,40,157.591647425,157.591647425,135.39208026666668,-14.086766349021374,13.932620166512052,14.086766349021389,-15.36001337745303,-12.98872325341547
hybrid,heldout-single-192,ttft_ms,ms,40,40,347.369157325,347.369157325,352.10524899999996,1.3634174408204247,1.589871014234335,1.5868609831248446,1.0232051080915427,1.6505430389892561
