source_analysis,purpose,metric,estimand,independent_trials,low,high,bootstrap_seed,bootstrap_resamples,interval_available
e2e_paired,engram-distinct-text,ttft_ms,paired_ratio_error_percent,30,864.3097582779644,872.1096597034559,94051000,5000,True
e2e_paired,engram-repeated-text,average_tpot_ms,observed_mean,30,142.88541663944892,143.5718214333602,94051000,5000,True
e2e_paired,engram-repeated-text,average_tpot_ms,paired_ratio_error_percent,30,440.2940529753767,442.8895622775233,94051000,5000,True
e2e_paired,engram-repeated-text,exact_itl_ms,observed_mean,30,142.88541663944892,143.5718214333602,94051000,5000,True
e2e_paired,engram-repeated-text,exact_itl_ms,paired_ratio_error_percent,30,440.2940529753767,442.8895622775233,94051000,5000,True
e2e_paired,engram-repeated-text,last_token_latency_ms,observed_mean,30,4671.67553717375,4693.318379320417,94051000,5000,True
e2e_paired,engram-repeated-text,last_token_latency_ms,paired_ratio_error_percent,30,461.980206081724,464.58372566676235,94051000,5000,True
e2e_paired,engram-repeated-text,output_tokens_per_second,observed_mean,30,13.430617247093199,13.493253732255829,94051000,5000,True
e2e_paired,engram-repeated-text,output_tokens_per_second,paired_ratio_error_percent,30,-82.28111493385289,-82.19846747440357,94051000,5000,True
e2e_paired,engram-repeated-text,request_latency_ms,observed_mean,30,4672.11075131,4693.760460557916,94051000,5000,True
e2e_paired,engram-repeated-text,request_latency_ms,paired_ratio_error_percent,30,461.92727604699786,464.5311243554032,94051000,5000,True
e2e_paired,engram-repeated-text,ttft_ms,observed_mean,30,240.50524418708335,245.52914742833335,94051000,5000,True
e2e_paired,engram-repeated-text,ttft_ms,paired_ratio_error_percent,30,848.3639288471949,868.1743193773914,94051000,5000,True
e2e_paired,heldout-burst-192,average_tpot_ms,observed_mean,30,142.8075851236425,143.57000155584677,94051000,5000,True
e2e_paired,heldout-burst-192,average_tpot_ms,paired_ratio_error_percent,30,444.84915658169325,447.75797931426797,94051000,5000,True
e2e_paired,heldout-burst-192,exact_itl_ms,observed_mean,30,142.8075851236425,143.57000155584677,94051000,5000,True
e2e_paired,heldout-burst-192,exact_itl_ms,paired_ratio_error_percent,30,444.84915658169314,447.75797931426797,94051000,5000,True
e2e_paired,heldout-burst-192,last_token_latency_ms,observed_mean,30,4669.91685888875,4695.544346916667,94051000,5000,True
e2e_paired,heldout-burst-192,last_token_latency_ms,paired_ratio_error_percent,30,465.77916211479965,468.88404902170294,94051000,5000,True
e2e_paired,heldout-burst-192,output_tokens_per_second,observed_mean,30,13.425295033656287,13.49872838029676,94051000,5000,True
e2e_paired,heldout-burst-192,output_tokens_per_second,paired_ratio_error_percent,30,-82.40284798640397,-82.30660255148783,94051000,5000,True
e2e_paired,heldout-burst-192,request_latency_ms,observed_mean,30,4670.390381950834,4696.0171469424995,94051000,5000,True
e2e_paired,heldout-burst-192,request_latency_ms,paired_ratio_error_percent,30,465.7221880571861,468.82637020831993,94051000,5000,True
e2e_paired,heldout-burst-192,ttft_ms,observed_mean,30,242.79791491125002,245.24137275666666,94051000,5000,True
e2e_paired,heldout-burst-192,ttft_ms,paired_ratio_error_percent,30,844.7728601688341,854.2807261701397,94051000,5000,True
e2e_paired,heldout-burst-384,average_tpot_ms,observed_mean,30,142.8131089106855,143.53786744798387,94051000,5000,True
e2e_paired,heldout-burst-384,average_tpot_ms,paired_ratio_error_percent,30,440.41258243122513,443.15510821002596,94051000,5000,True
e2e_paired,heldout-burst-384,exact_itl_ms,observed_mean,30,142.8131089106855,143.53786744798387,94051000,5000,True
e2e_paired,heldout-burst-384,exact_itl_ms,paired_ratio_error_percent,30,440.41258243122513,443.15510821002584,94051000,5000,True
e2e_paired,heldout-burst-384,last_token_latency_ms,observed_mean,30,4666.875921309583,4690.667880353333,94051000,5000,True
e2e_paired,heldout-burst-384,last_token_latency_ms,paired_ratio_error_percent,30,462.28008792331144,465.1466344809159,94051000,5000,True
e2e_paired,heldout-burst-384,output_tokens_per_second,observed_mean,30,13.438811995116057,13.50740792409735,94051000,5000,True
e2e_paired,heldout-burst-384,output_tokens_per_second,paired_ratio_error_percent,30,-82.29914052904893,-82.208794113039,94051000,5000,True
e2e_paired,heldout-burst-384,request_latency_ms,observed_mean,30,4667.380531094167,4691.186375095417,94051000,5000,True
e2e_paired,heldout-burst-384,request_latency_ms,paired_ratio_error_percent,30,462.2179525787241,465.08553448679857,94051000,5000,True
e2e_paired,heldout-burst-384,ttft_ms,observed_mean,30,239.39175193916665,241.37422104208332,94051000,5000,True
e2e_paired,heldout-burst-384,ttft_ms,paired_ratio_error_percent,30,864.5167681488975,872.5039418626856,94051000,5000,True
e2e_paired,heldout-burst-768,average_tpot_ms,observed_mean,30,145.9834291372043,146.6944247737231,94051000,5000,True
e2e_paired,heldout-burst-768,average_tpot_ms,paired_ratio_error_percent,30,435.9614455988218,438.57178467171764,94051000,5000,True
e2e_paired,heldout-burst-768,exact_itl_ms,observed_mean,30,145.9834291372043,146.6944247737231,94051000,5000,True
e2e_paired,heldout-burst-768,exact_itl_ms,paired_ratio_error_percent,30,435.9614455988218,438.57178467171764,94051000,5000,True
e2e_paired,heldout-burst-768,last_token_latency_ms,observed_mean,30,4993.202600142917,5023.6600734575,94051000,5000,True
e2e_paired,heldout-burst-768,last_token_latency_ms,paired_ratio_error_percent,30,462.85421052867883,466.28746689706753,94051000,5000,True
e2e_paired,heldout-burst-768,output_tokens_per_second,observed_mean,30,12.378858375845809,12.4529656236771,94051000,5000,True
e2e_paired,heldout-burst-768,output_tokens_per_second,paired_ratio_error_percent,30,-82.31451417723352,-82.20864395108948,94051000,5000,True
e2e_paired,heldout-burst-768,request_latency_ms,observed_mean,30,4993.663814054999,5024.143154342501,94051000,5000,True
e2e_paired,heldout-burst-768,request_latency_ms,paired_ratio_error_percent,30,462.8000910279156,466.23516468565293,94051000,5000,True
e2e_paired,heldout-burst-768,ttft_ms,observed_mean,30,466.07636559416665,480.9338139858333,94051000,5000,True
e2e_paired,heldout-burst-768,ttft_ms,paired_ratio_error_percent,30,711.5232204675516,737.3925232071523,94051000,5000,True
e2e_paired,heldout-single-192,average_tpot_ms,observed_mean,30,142.1979565202688,142.9307171421774,94051000,5000,True
e2e_paired,heldout-single-192,average_tpot_ms,paired_ratio_error_percent,30,425.01697043987974,427.7224366166428,94051000,5000,True
e2e_paired,heldout-single-192,exact_itl_ms,observed_mean,30,142.1979565202688,142.9307171421774,94051000,5000,True
e2e_paired,heldout-single-192,exact_itl_ms,paired_ratio_error_percent,30,425.01697043987974,427.72243661664277,94051000,5000,True
e2e_paired,heldout-single-192,last_token_latency_ms,observed_mean,30,4569.623246616667,4593.183032951667,94051000,5000,True
e2e_paired,heldout-single-192,last_token_latency_ms,paired_ratio_error_percent,30,439.9311942086447,442.7149387069507,94051000,5000,True
e2e_paired,heldout-single-192,output_tokens_per_second,observed_mean,30,6.9659849974736865,7.002058081301777,94051000,5000,True
e2e_paired,heldout-single-192,output_tokens_per_second,paired_ratio_error_percent,30,-81.5725263408455,-81.47710630343167,94051000,5000,True
e2e_paired,heldout-single-192,request_latency_ms,observed_mean,30,4570.370181706667,4593.867369879166,94051000,5000,True
e2e_paired,heldout-single-192,request_latency_ms,paired_ratio_error_percent,30,439.8507620116602,442.6262428646386,94051000,5000,True
e2e_paired,heldout-single-192,ttft_ms,observed_mean,30,161.03111363333332,162.95515363083334,94051000,5000,True
e2e_paired,heldout-single-192,ttft_ms,paired_ratio_error_percent,30,843.3895263503134,854.6613802227281,94051000,5000,True
e2e_paired,heldout-single-384,average_tpot_ms,observed_mean,30,142.11863644043012,142.77965150166668,94051000,5000,True
e2e_paired,heldout-single-384,average_tpot_ms,paired_ratio_error_percent,30,447.6592251125093,450.20647018435886,94051000,5000,True
e2e_paired,heldout-single-384,exact_itl_ms,observed_mean,30,142.1186364404301,142.77965150166668,94051000,5000,True
e2e_paired,heldout-single-384,exact_itl_ms,paired_ratio_error_percent,30,447.6592251125093,450.20647018435886,94051000,5000,True
e2e_paired,heldout-single-384,last_token_latency_ms,observed_mean,30,4565.514991280834,4586.35307451,94051000,5000,True
e2e_paired,heldout-single-384,last_token_latency_ms,paired_ratio_error_percent,30,462.4883075488407,465.05563635799,94051000,5000,True
e2e_paired,heldout-single-384,output_tokens_per_second,observed_mean,30,6.976123257080493,7.008202303275368,94051000,5000,True
e2e_paired,heldout-single-384,output_tokens_per_second,paired_ratio_error_percent,30,-82.30070906133338,-82.21933235487933,94051000,5000,True
e2e_paired,heldout-single-384,request_latency_ms,observed_mean,30,4566.271754876667,4587.17720243,94051000,5000,True
e2e_paired,heldout-single-384,request_latency_ms,paired_ratio_error_percent,30,462.38725143197684,464.96199025934675,94051000,5000,True
e2e_paired,heldout-single-384,ttft_ms,observed_mean,30,159.43922611416667,160.57182397166667,94051000,5000,True
e2e_paired,heldout-single-384,ttft_ms,paired_ratio_error_percent,30,869.8936117705007,876.7833807025431,94051000,5000,True
e2e_paired,heldout-single-768,average_tpot_ms,observed_mean,30,145.2704091635215,146.0661044183602,94051000,5000,True
e2e_paired,heldout-single-768,average_tpot_ms,paired_ratio_error_percent,30,436.7217615180609,439.6615684693602,94051000,5000,True
e2e_paired,heldout-single-768,exact_itl_ms,observed_mean,30,145.2704091635215,146.0661044183602,94051000,5000,True
e2e_paired,heldout-single-768,exact_itl_ms,paired_ratio_error_percent,30,436.7217615180609,439.6615684693602,94051000,5000,True
e2e_paired,heldout-single-768,last_token_latency_ms,observed_mean,30,4815.857346830834,4842.82878037,94051000,5000,True
e2e_paired,heldout-single-768,last_token_latency_ms,paired_ratio_error_percent,30,451.66173646880696,454.75134373757845,94051000,5000,True
e2e_paired,heldout-single-768,output_tokens_per_second,observed_mean,30,6.6069493309469,6.643825346928483,94051000,5000,True
e2e_paired,heldout-single-768,output_tokens_per_second,paired_ratio_error_percent,30,-81.97177444530584,-81.87115484182269,94051000,5000,True
e2e_paired,heldout-single-768,request_latency_ms,observed_mean,30,4816.749800470833,4843.614118854167,94051000,5000,True
e2e_paired,heldout-single-768,request_latency_ms,paired_ratio_error_percent,30,451.57229061949494,454.6485586900609,94051000,5000,True
e2e_paired,heldout-single-768,ttft_ms,observed_mean,30,312.1948964558333,315.19033584500005,94051000,5000,True
e2e_paired,heldout-single-768,ttft_ms,paired_ratio_error_percent,30,665.5716062901873,672.9170926217797,94051000,5000,True
e2e_paired,heterogeneous,average_tpot_ms,observed_mean,30,144.47386348619176,145.35553233247313,94051000,5000,True
e2e_paired,heterogeneous,average_tpot_ms,paired_ratio_error_percent,30,429.21173448630935,432.82818829507795,94051000,5000,True
e2e_paired,heterogeneous,exact_itl_ms,observed_mean,30,144.47386348619176,145.3555323324731,94051000,5000,True
e2e_paired,heterogeneous,exact_itl_ms,paired_ratio_error_percent,30,429.21173448630935,432.82818829507795,94051000,5000,True
e2e_paired,heterogeneous,last_token_latency_ms,observed_mean,30,6318.354411894722,6377.251598459445,94051000,5000,True
e2e_paired,heterogeneous,last_token_latency_ms,paired_ratio_error_percent,30,443.66370852575034,451.2166205843989,94051000,5000,True
e2e_paired,heterogeneous,output_tokens_per_second,observed_mean,30,10.190031022524904,10.260743318012159,94051000,5000,True
e2e_paired,heterogeneous,output_tokens_per_second,paired_ratio_error_percent,30,-81.88518892252387,-81.75865436409256,94051000,5000,True
e2e_paired,heterogeneous,request_latency_ms,observed_mean,30,6318.944737864167,6377.83145145,94051000,5000,True
e2e_paired,heterogeneous,request_latency_ms,paired_ratio_error_percent,30,443.6151607974803,451.1658789952197,94051000,5000,True
e2e_paired,heterogeneous,ttft_ms,observed_mean,30,1836.3778195825,1874.6377300672223,94051000,5000,True
e2e_paired,heterogeneous,ttft_ms,paired_ratio_error_percent,30,477.72117886883166,496.67262284785653,94051000,5000,True
e2e_paired,prefix-cold-control,average_tpot_ms,observed_mean,30,145.45654682155558,146.17615880733334,94051000,5000,True
e2e_paired,prefix-cold-control,average_tpot_ms,paired_ratio_error_percent,30,436.7152732712958,439.3705455984444,94051000,5000,True
e2e_paired,prefix-cold-control,exact_itl_ms,observed_mean,30,145.45654682155558,146.17615880733334,94051000,5000,True
e2e_paired,prefix-cold-control,exact_itl_ms,paired_ratio_error_percent,30,436.7152732712958,439.3705455984444,94051000,5000,True
e2e_paired,prefix-cold-control,last_token_latency_ms,observed_mean,30,2495.6255620133334,2507.3334571783334,94051000,5000,True
e2e_paired,prefix-cold-control,last_token_latency_ms,paired_ratio_error_percent,30,465.5910756266274,468.244470880141,94051000,5000,True
e2e_paired,prefix-cold-control,output_tokens_per_second,observed_mean,30,6.379804752007833,6.409943942263348,94051000,5000,True
e2e_paired,prefix-cold-control,output_tokens_per_second,paired_ratio_error_percent,30,-82.39901156019125,-82.31583707957077,94051000,5000,True
e2e_paired,prefix-cold-control,request_latency_ms,observed_mean,30,2496.244912299167,2507.9979083066664,94051000,5000,True
e2e_paired,prefix-cold-control,request_latency_ms,paired_ratio_error_percent,30,465.44123195052526,468.10348215985044,94051000,5000,True
e2e_paired,prefix-cold-control,ttft_ms,observed_mean,30,313.31520466083333,315.2648185858333,94051000,5000,True
