scope,purpose,metric,coverage_unit,observed_points,predicted_points,observed_mean_supported,predicted_mean_supported,mape_percent,wape_percent
main,,ttft_ms,scenario whole-trial cohorts,450,450,338.23252633,2722.551336031111,838.9658165681057,704.9348078885904
main,,average_tpot_ms,scenario whole-trial cohorts,450,450,143.82825528807885,770.777934727223,435.91723609323395,435.9016093071586
main,,exact_itl_ms,scenario whole-trial cohorts,450,450,143.82825528807885,770.777934727223,435.91723609323395,435.9016093071586
main,,output_tokens_per_second,scenario whole-trial cohorts,450,450,9.19743013126127,1.6325440909215712,82.25709045342838,82.24999736205991
main,,request_latency_ms,scenario whole-trial cohorts,450,450,3801.1446174444445,21316.087859145184,464.1971259552761,460.7807648601449
main,,last_token_latency_ms,scenario whole-trial cohorts,450,450,3800.586862860741,21316.087859145184,464.2936382524595,460.86306216141435
main,,native_forward_interval_ms,correlated native intervals,12531,12531,144.41040087943222,768.5187224147595,432.32914479798,432.17684995999235
main,boundary-127,ttft_ms,scenario whole-trial cohorts,30,30,162.11241496666668,1595.932716,884.717802179967,884.4605154566068
main,boundary-127,average_tpot_ms,scenario whole-trial cohorts,30,30,142.92301170666667,744.3577281333332,420.8348615060373,420.81027347859373
main,boundary-127,exact_itl_ms,scenario whole-trial cohorts,30,30,142.92301170666667,744.3577281333332,420.8348615060373,420.81027347859373
main,boundary-127,output_tokens_per_second,scenario whole-trial cohorts,30,30,6.937037716426408,1.2537570288433573,81.92578761385093,81.92662228324707
main,boundary-127,request_latency_ms,scenario whole-trial cohorts,30,30,2306.5665464666668,12761.298637999998,453.2850622649184,453.25950415558145
main,boundary-127,last_token_latency_ms,scenario whole-trial cohorts,30,30,2305.9575905666666,12761.298637999998,453.43132332026323,453.4056085942168
main,boundary-127,native_forward_interval_ms,correlated native intervals,480,480,143.57308165490394,751.0235109029605,423.03523501824327,423.0949299452529
main,boundary-128,ttft_ms,scenario whole-trial cohorts,30,30,162.0830611,1528.7996569999998,843.4110482614574,843.2198815993362
main,boundary-128,average_tpot_ms,scenario whole-trial cohorts,30,30,142.6842828511111,744.3785641999999,421.71893065182314,421.69625786797263
main,boundary-128,exact_itl_ms,scenario whole-trial cohorts,30,30,142.6842828511111,744.3785641999999,421.71893065182314,421.69625786797263
main,boundary-128,output_tokens_per_second,scenario whole-trial cohorts,30,30,6.948275513814527,1.2603549614665184,81.86007791455557,81.86089542706407
main,boundary-128,request_latency_ms,scenario whole-trial cohorts,30,30,2302.8334402666665,12694.478119999998,451.27957176156417,451.25472376890565
main,boundary-128,last_token_latency_ms,scenario whole-trial cohorts,30,30,2302.3473038666666,12694.478119999998,451.3959853752331,451.3711201902647
main,boundary-128,native_forward_interval_ms,correlated native intervals,480,480,143.33566072018584,746.8604183275487,421.1651258516578,421.05694743022804
main,boundary-129,ttft_ms,scenario whole-trial cohorts,30,30,162.65034056666667,1521.560867,835.9919034200632,835.4796686554411
main,boundary-129,average_tpot_ms,scenario whole-trial cohorts,30,30,142.51715732444444,744.5267489999999,422.44291244445276,422.41201198327514
main,boundary-129,exact_itl_ms,scenario whole-trial cohorts,30,30,142.51715732444444,744.5267489999999,422.44291244445276,422.41201198327514
main,boundary-129,output_tokens_per_second,scenario whole-trial cohorts,30,30,6.954413941090704,1.2608526107437825,81.8687864315993,81.86975032800484
main,boundary-129,request_latency_ms,scenario whole-trial cohorts,30,30,2300.8194206666667,12689.462101999998,451.5485759193183,451.51925388056753
main,boundary-129,last_token_latency_ms,scenario whole-trial cohorts,30,30,2300.4077004333335,12689.462101999998,451.647323888541,451.6179631814678
main,boundary-129,native_forward_interval_ms,correlated native intervals,480,480,143.14748861506814,746.6611272678803,421.722097892106,421.6026732230666
main,engram-distinct-text,ttft_ms,scenario whole-trial cohorts,30,30,240.45077955,2328.0950315,868.3520221291617,868.2210371107943
main,engram-distinct-text,average_tpot_ms,scenario whole-trial cohorts,30,30,143.22490031129033,775.6966962419355,441.6206878256307,441.5934621396192
main,engram-distinct-text,exact_itl_ms,scenario whole-trial cohorts,30,30,143.22490031129033,775.6966962419355,441.6206878256307,441.59346213961913
main,engram-distinct-text,output_tokens_per_second,scenario whole-trial cohorts,30,30,13.4679332560673,2.390930000841841,82.24633510657516,82.24723901297382
main,engram-distinct-text,request_latency_ms,scenario whole-trial cohorts,30,30,4680.903486966667,26374.692615,463.48194939408694,463.45303184388894
main,engram-distinct-text,last_token_latency_ms,scenario whole-trial cohorts,30,30,4680.4226892,26374.692615,463.5398462682665,463.51091271861367
main,engram-distinct-text,native_forward_interval_ms,correlated native intervals,990,990,143.70558238047354,765.2627300558379,432.7105128176113,432.52122664917465
main,engram-repeated-text,ttft_ms,scenario whole-trial cohorts,30,30,242.4888752,2328.5096063333335,861.0563095108614,860.2541990484408
main,engram-repeated-text,average_tpot_ms,scenario whole-trial cohorts,30,30,143.23250250430107,775.710012951613,441.5988118685849,441.57401385088514
main,engram-repeated-text,exact_itl_ms,scenario whole-trial cohorts,30,30,143.23250250430107,775.710012951613,441.59881186858496,441.57401385088514
main,engram-repeated-text,output_tokens_per_second,scenario whole-trial cohorts,30,30,13.461277701899286,2.390855472660152,82.23822689663812,82.23901530296177
main,engram-repeated-text,request_latency_ms,scenario whole-trial cohorts,30,30,4683.136920883333,26375.520007833333,463.2266805503809,463.20198306007205
main,engram-repeated-text,last_token_latency_ms,scenario whole-trial cohorts,30,30,4682.696452833334,26375.520007833333,463.27967344131156,463.254959476915
main,engram-repeated-text,native_forward_interval_ms,correlated native intervals,990,990,143.7397358289948,765.2877493189353,432.6442716208482,432.4121022661316
main,heldout-burst-192,ttft_ms,scenario whole-trial cohorts,30,30,244.0010432,2316.97395575,849.7635154683823,849.5754302373409
main,heldout-burst-192,average_tpot_ms,scenario whole-trial cohorts,30,30,143.19296130107526,782.2399425806451,446.314503579203,446.28379458953975
main,heldout-burst-192,exact_itl_ms,scenario whole-trial cohorts,30,30,143.19296130107526,782.2399425806451,446.314503579203,446.28379458953975
main,heldout-burst-192,output_tokens_per_second,scenario whole-trial cohorts,30,30,13.461177535208021,2.3753898113126057,82.35273028314514,82.35377399117039
main,heldout-burst-192,request_latency_ms,scenario whole-trial cohorts,30,30,4683.44579585,26566.41217575,467.27453368612566,467.2407311576124
main,heldout-burst-192,last_token_latency_ms,scenario whole-trial cohorts,30,30,4682.982843533333,26566.41217575,467.3306704037909,467.2968076839144
main,heldout-burst-192,native_forward_interval_ms,correlated native intervals,990,990,143.7760850090082,770.3627698137677,436.11940464971195,435.8073074291188
main,heldout-burst-384,ttft_ms,scenario whole-trial cohorts,30,30,240.34040858333333,2328.09457335,868.7898659919263,868.6654803795835
main,heldout-burst-384,average_tpot_ms,scenario whole-trial cohorts,30,30,143.1843081801075,775.6966962419355,441.7739080478052,441.74700154028636
main,heldout-burst-384,exact_itl_ms,scenario whole-trial cohorts,30,30,143.18430818010754,775.6966962419355,441.7739080478052,441.74700154028636
main,heldout-burst-384,output_tokens_per_second,scenario whole-trial cohorts,30,30,13.472245669505057,2.3909275776970915,82.25204945489642,82.25293958891318
main,heldout-burst-384,request_latency_ms,scenario whole-trial cohorts,30,30,4679.56741165,26374.69215685,463.6421240549363,463.61389497646684
main,heldout-burst-384,last_token_latency_ms,scenario whole-trial cohorts,30,30,4679.053962166667,26374.69215685,463.70403014551954,463.6757423638907
main,heldout-burst-384,native_forward_interval_ms,correlated native intervals,990,990,143.66093132071046,765.2627300558379,432.8795480449662,432.68673885139714
main,heldout-burst-768,ttft_ms,scenario whole-trial cohorts,30,30,471.5865969833333,3902.8889373666666,729.2751835607235,727.6081131933869
main,heldout-burst-768,average_tpot_ms,scenario whole-trial cohorts,30,30,146.3442859951613,786.2255596290322,437.26862354935287,437.2437702521764
main,heldout-burst-768,exact_itl_ms,scenario whole-trial cohorts,30,30,146.3442859951613,786.2255596290322,437.26862354935287,437.2437702521764
main,heldout-burst-768,output_tokens_per_second,scenario whole-trial cohorts,30,30,12.416326269991387,2.202367451996508,82.261084530061,82.26232619773099
main,heldout-burst-768,request_latency_ms,scenario whole-trial cohorts,30,30,5008.724816916667,28275.881285866664,464.57313531858046,464.5325371113737
main,heldout-burst-768,last_token_latency_ms,scenario whole-trial cohorts,30,30,5008.259462833334,28275.881285866664,464.62558331254434,464.58499196585336
