scope,purpose,metric,planned_points,predicted_points,observed_mean_supported,predicted_mean_supported,mape_percent,wape_percent
core,,ttft_ms,1500,1100,367.3589025190909,390.7521366118182,13.138236664083438,13.270108540692961
core,,average_tpot_ms,1500,1100,160.24230153739506,154.13760667276148,3.8089700988339,3.850321036785698
core,,exact_itl_ms,1500,1100,160.24230153739506,154.13760667276148,3.8089700988339006,3.850321036785698
core,,output_tokens_per_second,1500,1100,7.99906659603858,8.137902634088082,4.0947817151564685,3.606635502194138
core,,request_latency_ms,1500,1100,4070.498738056818,3963.6888341340905,3.7658584122669154,3.4679388859255678
core,,last_token_latency_ms,1500,1100,4070.027411467273,3963.6888341340905,3.759058698255481,3.463773669291842
core,,native_forward_interval_ms,39393,35544,158.08605966218119,154.7081443503517,2.053462242419108,2.3310502346115167
core,boundary-127,ttft_ms,100,100,346.70009082,329.02527,5.08142013728215,5.098014476487814
core,boundary-127,average_tpot_ms,100,100,158.56745925266668,150.20008933333332,5.166692856650481,5.276851857732354
core,boundary-127,exact_itl_ms,100,100,158.56745925266665,150.20008933333332,5.16669285665048,5.276851857732352
core,boundary-127,output_tokens_per_second,100,100,5.8757786232568545,6.196006139768581,5.54748145390275,5.449958840250347
core,boundary-127,request_latency_ms,100,100,2725.56182084,2582.02661,5.178645251760229,5.266261427002358
core,boundary-127,last_token_latency_ms,100,100,2725.21197961,2582.02661,5.166467889976689,5.254100256468527
core,boundary-127,native_forward_interval_ms,1700,1700,156.95512786865234,151.86907263539797,2.9709445041045663,3.281327743915723
core,boundary-128,ttft_ms,100,100,350.96853647,329.203781,5.604563711046944,6.201340920444705
core,boundary-128,average_tpot_ms,100,100,157.96375524,150.1863426666667,4.8826026318556135,4.923542468028061
core,boundary-128,exact_itl_ms,100,100,157.96375524,150.1863426666667,4.882602631855613,4.92354246802806
core,boundary-128,output_tokens_per_second,100,100,5.883906972996552,6.196052611720811,5.36272614469301,5.305074335077208
core,boundary-128,request_latency_ms,100,100,2720.77046914,2581.9989210000003,5.048490902865778,5.100450394989165
core,boundary-128,last_token_latency_ms,100,100,2720.42486507,2581.9989210000003,5.0364307774776425,5.08839431102751
