scope,purpose,metric,planned_points,predicted_points,observed_mean_supported,predicted_mean_supported,mape_percent,wape_percent
core,,ttft_ms,600,600,373.06866149083334,404.5977551875,13.48653976447855,13.628327505047197
core,,average_tpot_ms,600,600,158.84178527163775,154.61910211260624,2.620646739518944,2.6674125469209224
core,,exact_itl_ms,600,600,158.84178527163775,154.61910211260624,2.6206467395189446,2.6674125469209238
core,,output_tokens_per_second,600,600,8.67725141743719,8.719529133390294,3.1242900144772587,2.809699489116173
core,,request_latency_ms,600,600,4210.840360088333,4145.372781320833,2.8292174900156133,2.6941380725461186
core,,last_token_latency_ms,600,600,4210.318785251667,4145.372781320833,2.8238300318866187,2.6913145017923776
core,,native_forward_interval_ms,15756,15756,157.00117988034413,155.3408656217623,1.2409430359173195,1.5244485693197671
core,boundary-127,ttft_ms,40,40,346.314633075,334.635675,3.361123676806786,3.3723547778793215
core,boundary-127,average_tpot_ms,40,40,156.81919501833335,153.05068533333332,2.3169491900309245,2.4030920988718574
core,boundary-127,exact_itl_ms,40,40,156.81919501833335,153.05068533333332,2.316949190030924,2.403092098871857
core,boundary-127,output_tokens_per_second,40,40,5.932314583909938,6.082076430551273,2.595092791345532,2.5245095236103854
core,boundary-127,request_latency_ms,40,40,2698.9491242,2630.395955,2.4728982168486904,2.5399948663471035
core,boundary-127,last_token_latency_ms,40,40,2698.60255835,2630.395955,2.460356128298419,2.52747864404692
core,boundary-127,native_forward_interval_ms,680,680,155.6001770019531,154.84568686262222,0.9495133508033432,1.4651452629456811
core,boundary-128,ttft_ms,40,40,345.394471575,332.843704,3.63048627392801,3.6337488315225435
core,boundary-128,average_tpot_ms,40,40,156.33202204166668,153.18496486666663,1.9493887250816662,2.0130598542128806
core,boundary-128,exact_itl_ms,40,40,156.33202204166668,153.18496486666663,1.949388725081667,2.0130598542128815
core,boundary-128,output_tokens_per_second,40,40,5.949363730889907,6.081546627105556,2.273603919908361,2.2217988711858134
core,boundary-128,request_latency_ms,40,40,2690.7262201,2630.618177,2.1843476746029804,2.2338966577493835
core,boundary-128,last_token_latency_ms,40,40,2690.3748022,2630.618177,2.1715706114945963,2.221126407782865
core,boundary-128,native_forward_interval_ms,680,680,154.94221913954792,154.8594038072368,0.8618251250654181,1.1325297866566946
core,boundary-129,ttft_ms,40,40,344.770812,331.549668,3.832780169234613,3.834763135343372
