scope,mode,purpose,metric,planned_points,predicted_points,observed_mean_supported,predicted_mean_supported,mape_percent,wape_percent,weighting
service-on,HYBRID,,average_tpot_ms,120,120,158.4319531578136,150.91505756263442,4.71805644210443,4.744557802485488,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-on,HYBRID,,exact_itl_ms,120,120,158.4319531578136,150.91505756263442,4.71805644210443,4.744557802485488,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-on,HYBRID,,output_tokens_per_second,120,120,8.978137818413213,9.172804892439357,3.7672404553553465,3.0606921212501996,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-on,HYBRID,,request_latency_ms,120,120,4658.633657825,4505.114682479167,3.593399825809115,3.308144742260156,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-on,HYBRID,,last_token_latency_ms,120,120,4658.105282216667,4505.114682479167,3.583261394078061,3.298192317751201,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-on,HYBRID,,native_forward_interval_ms,3504,3504,156.25071262551225,151.65230070069555,3.4988984054047556,3.759749952906471,MAPE: equal correlated native intervals; WAPE: observed interval latency weighted
service-on,SILICON,,ttft_ms,120,120,371.38254486666665,416.2583191041667,16.60030656094571,16.82339088569654,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-on,SILICON,,average_tpot_ms,120,120,158.4319531578136,150.91505756263442,4.71805644210443,4.744557802485488,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-on,SILICON,,exact_itl_ms,120,120,158.4319531578136,150.91505756263442,4.71805644210443,4.744557802485488,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-on,SILICON,,output_tokens_per_second,120,120,8.978137818413213,9.172804892439357,3.7672404553553465,3.0606921212501996,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-on,SILICON,,request_latency_ms,120,120,4658.633657825,4505.114682479167,3.593399825809115,3.308144742260156,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-on,SILICON,,last_token_latency_ms,120,120,4658.105282216667,4505.114682479167,3.583261394078061,3.298192317751201,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-on,SILICON,,native_forward_interval_ms,3504,3504,156.25071262551225,151.65230070069555,3.4988984054047556,3.759749952906471,MAPE: equal correlated native intervals; WAPE: observed interval latency weighted
service-off,SOL,boundary-129,ttft_ms,30,30,345.00782223333334,9.933473000000001,97.12027875432717,97.12079774432424,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,boundary-129,average_tpot_ms,30,30,155.51188556,0.5459962666666671,99.64861768766107,99.64890383477731,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,boundary-129,exact_itl_ms,30,30,155.51188556,0.5459962666666671,99.64861768766107,99.6489038347773,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,boundary-129,output_tokens_per_second,30,30,5.978281628528662,868.2602316984957,14432.615635748944,14423.575262080562,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,boundary-129,request_latency_ms,30,30,2678.0412351,18.123417000000007,99.3228319318921,99.32325847853036,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,boundary-129,last_token_latency_ms,30,30,2677.686105633333,18.123417000000007,99.32274207575574,99.32316872534567,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,boundary-129,native_forward_interval_ms,510,510,154.24700670429306,1.0660843866801482,99.35922131151577,99.30884598057457,MAPE: equal correlated native intervals; WAPE: observed interval latency weighted
service-off,SOL,engram-distinct-text,ttft_ms,30,30,407.02656713333334,16.4908611,95.87803213692729,95.94845584254013,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,engram-distinct-text,average_tpot_ms,30,30,160.8352146360215,0.8494086935483872,99.47168233630065,99.4718764199304,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,engram-distinct-text,exact_itl_ms,30,30,160.8352146360215,0.8494086935483872,99.47168233630065,99.4718764199304,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,engram-distinct-text,output_tokens_per_second,30,30,11.87249589998524,1463.336441675882,12232.998854859172,12225.432276440719,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,engram-distinct-text,request_latency_ms,30,30,5393.612627783334,42.8225306,99.20556033973872,99.20605105417816,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,engram-distinct-text,last_token_latency_ms,30,30,5392.91822085,42.8225306,99.20545796259597,99.2059488231355,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,engram-distinct-text,native_forward_interval_ms,1005,1005,157.72169733000038,1.1449099942729566,99.31586715046393,99.2740948051824,MAPE: equal correlated native intervals; WAPE: observed interval latency weighted
service-off,SOL,engram-repeated-text,ttft_ms,30,30,405.4389406166667,15.979127266666666,95.99462593005181,96.05880795703474,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,engram-repeated-text,average_tpot_ms,30,30,160.71975118010752,0.8329441935483872,99.48162555017085,99.48174123750667,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,engram-repeated-text,exact_itl_ms,30,30,160.71975118010752,0.8329441935483872,99.48162555017085,99.48174123750667,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,engram-repeated-text,output_tokens_per_second,30,30,11.881033704049523,1497.8278169494863,12511.704750267927,12506.881305613733,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,engram-repeated-text,request_latency_ms,30,30,5388.451541983333,41.80039726666667,99.22396458606993,99.22425956805985,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,engram-repeated-text,last_token_latency_ms,30,30,5387.7512272,41.80039726666667,99.22386366285194,99.22415873517623,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,engram-repeated-text,native_forward_interval_ms,1004,1004,157.69953696566273,1.1373101049963041,99.32120735241452,99.27881202007339,MAPE: equal correlated native intervals; WAPE: observed interval latency weighted
service-off,SOL,heldout-single-192,ttft_ms,30,30,345.7742313,10.186248,97.05377449896355,97.0540754405836,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,heldout-single-192,average_tpot_ms,30,30,155.0980563451613,0.5460747096774193,99.64781748024333,99.64791647133077,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,heldout-single-192,exact_itl_ms,30,30,155.0980563451613,0.5460747096774193,99.64781748024333,99.64791647133077,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,heldout-single-192,output_tokens_per_second,30,30,6.21023565004039,1167.4743783354972,18704.12331989137,18699.19610341846,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,heldout-single-192,request_latency_ms,30,30,5154.142682466667,27.114564,99.47378802503718,99.4739267872378,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,heldout-single-192,last_token_latency_ms,30,30,5153.813978,27.114564,99.47375447630881,99.47389323487918,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SOL,heldout-single-192,native_forward_interval_ms,990,990,152.99795365767045,0.8216545023333341,99.49160511969534,99.4629637307622,MAPE: equal correlated native intervals; WAPE: observed interval latency weighted
service-off,HYBRID,boundary-129,ttft_ms,30,30,345.00782223333334,359.264744,4.335058898299977,4.329324458977505,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,boundary-129,average_tpot_ms,30,30,155.51188556,135.39208026666665,12.86683601900334,12.937792645804336,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,boundary-129,exact_itl_ms,30,30,155.51188556,135.39208026666665,12.866836019003339,12.937792645804333,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,boundary-129,output_tokens_per_second,30,30,5.978281628528662,6.6932974861220025,12.030784845225774,11.960223723506912,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,boundary-129,request_latency_ms,30,30,2678.0412351,2390.145948,10.693964934808609,10.750218604802393,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,boundary-129,last_token_latency_ms,30,30,2677.686105633333,2390.145948,10.68211456022371,10.738381807651184,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,boundary-129,native_forward_interval_ms,510,510,154.24700670429306,140.6227338794463,11.568299584120279,12.018072077968634,MAPE: equal correlated native intervals; WAPE: observed interval latency weighted
service-off,HYBRID,engram-distinct-text,ttft_ms,30,30,407.02656713333334,530.4144201,32.580227091082136,30.314446999290688,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,engram-distinct-text,average_tpot_ms,30,30,160.8352146360215,142.92020587096778,11.10607904688383,11.138735261177931,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,engram-distinct-text,exact_itl_ms,30,30,160.8352146360215,142.92020587096778,11.106079046883831,11.138735261177931,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,engram-distinct-text,output_tokens_per_second,30,30,11.87249589998524,12.726422966152787,7.258712556381952,7.192481457657175,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,engram-distinct-text,request_latency_ms,30,30,5393.612627783334,4960.940802100001,7.965091067880478,8.021929929757531,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,engram-distinct-text,last_token_latency_ms,30,30,5392.91822085,4960.940802100001,7.953230791677305,8.010086581322458,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,engram-distinct-text,native_forward_interval_ms,1005,1005,157.72169733000038,143.93654306610654,11.45900143059077,11.791628991810905,MAPE: equal correlated native intervals; WAPE: observed interval latency weighted
service-off,HYBRID,engram-repeated-text,ttft_ms,30,30,405.4389406166667,513.9174997666667,28.819603750748865,26.7558313429405,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,engram-repeated-text,average_tpot_ms,30,30,160.71975118010752,142.3880901935484,11.386202715611931,11.405978949044096,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,engram-repeated-text,exact_itl_ms,30,30,160.71975118010752,142.3880901935484,11.386202715611931,11.405978949044096,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,engram-repeated-text,output_tokens_per_second,30,30,11.881033704049523,12.810428501998201,7.86353353925209,7.822507881884923,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,engram-repeated-text,request_latency_ms,30,30,5388.451541983333,4927.948295766667,8.511317784758388,8.546114642188437,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,engram-repeated-text,last_token_latency_ms,30,30,5387.7512272,4927.948295766667,8.499419752344807,8.53422721361044,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,engram-repeated-text,native_forward_interval_ms,1004,1004,157.69953696566273,143.927320610227,11.463771504130738,11.780955176698477,MAPE: equal correlated native intervals; WAPE: observed interval latency weighted
service-off,HYBRID,heldout-single-192,ttft_ms,30,30,345.7742313,352.105249,2.0343845118178585,2.0333760578107394,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,heldout-single-192,average_tpot_ms,30,30,155.0980563451613,135.00712819354837,12.929220581552103,12.953694343468616,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,heldout-single-192,exact_itl_ms,30,30,155.0980563451613,135.00712819354837,12.929220581552103,12.953694343468616,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,heldout-single-192,output_tokens_per_second,30,30,6.21023565004039,7.052153128311498,13.586884608886878,13.55693287203411,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,heldout-single-192,request_latency_ms,30,30,5154.142682466667,4537.326223,11.94417166894464,11.967392008082154,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,heldout-single-192,last_token_latency_ms,30,30,5153.813978,4537.326223,11.938557655569578,11.961777387224126,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,HYBRID,heldout-single-192,native_forward_interval_ms,990,990,152.99795365767045,137.4894764959821,11.231219382740152,11.470158164720612,MAPE: equal correlated native intervals; WAPE: observed interval latency weighted
service-off,SILICON,boundary-129,ttft_ms,30,30,345.00782223333334,359.264744,4.335058898299977,4.329324458977505,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,boundary-129,average_tpot_ms,30,30,155.51188556,135.39208026666665,12.86683601900334,12.937792645804336,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,boundary-129,exact_itl_ms,30,30,155.51188556,135.39208026666665,12.866836019003339,12.937792645804333,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,boundary-129,output_tokens_per_second,30,30,5.978281628528662,6.6932974861220025,12.030784845225774,11.960223723506912,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,boundary-129,request_latency_ms,30,30,2678.0412351,2390.145948,10.693964934808609,10.750218604802393,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,boundary-129,last_token_latency_ms,30,30,2677.686105633333,2390.145948,10.68211456022371,10.738381807651184,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,boundary-129,native_forward_interval_ms,510,510,154.24700670429306,140.6227338794463,11.568299584120279,12.018072077968634,MAPE: equal correlated native intervals; WAPE: observed interval latency weighted
service-off,SILICON,engram-distinct-text,ttft_ms,30,30,407.02656713333334,530.4144201,32.580227091082136,30.314446999290688,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,engram-distinct-text,average_tpot_ms,30,30,160.8352146360215,142.92020587096778,11.10607904688383,11.138735261177931,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,engram-distinct-text,exact_itl_ms,30,30,160.8352146360215,142.92020587096778,11.106079046883831,11.138735261177931,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,engram-distinct-text,output_tokens_per_second,30,30,11.87249589998524,12.726422966152787,7.258712556381952,7.192481457657175,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,engram-distinct-text,request_latency_ms,30,30,5393.612627783334,4960.940802100001,7.965091067880478,8.021929929757531,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,engram-distinct-text,last_token_latency_ms,30,30,5392.91822085,4960.940802100001,7.953230791677305,8.010086581322458,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,engram-distinct-text,native_forward_interval_ms,1005,1005,157.72169733000038,143.93654306610654,11.45900143059077,11.791628991810905,MAPE: equal correlated native intervals; WAPE: observed interval latency weighted
service-off,SILICON,engram-repeated-text,ttft_ms,30,30,405.4389406166667,513.9174997666667,28.819603750748865,26.7558313429405,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,engram-repeated-text,average_tpot_ms,30,30,160.71975118010752,142.3880901935484,11.386202715611931,11.405978949044096,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,engram-repeated-text,exact_itl_ms,30,30,160.71975118010752,142.3880901935484,11.386202715611931,11.405978949044096,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,engram-repeated-text,output_tokens_per_second,30,30,11.881033704049523,12.810428501998201,7.86353353925209,7.822507881884923,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,engram-repeated-text,request_latency_ms,30,30,5388.451541983333,4927.948295766667,8.511317784758388,8.546114642188437,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,engram-repeated-text,last_token_latency_ms,30,30,5387.7512272,4927.948295766667,8.499419752344807,8.53422721361044,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,engram-repeated-text,native_forward_interval_ms,1004,1004,157.69953696566273,143.927320610227,11.463771504130738,11.780955176698477,MAPE: equal correlated native intervals; WAPE: observed interval latency weighted
service-off,SILICON,heldout-single-192,ttft_ms,30,30,345.7742313,352.105249,2.0343845118178585,2.0333760578107394,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,heldout-single-192,average_tpot_ms,30,30,155.0980563451613,135.00712819354837,12.929220581552103,12.953694343468616,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,heldout-single-192,exact_itl_ms,30,30,155.0980563451613,135.00712819354837,12.929220581552103,12.953694343468616,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,heldout-single-192,output_tokens_per_second,30,30,6.21023565004039,7.052153128311498,13.586884608886878,13.55693287203411,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,heldout-single-192,request_latency_ms,30,30,5154.142682466667,4537.326223,11.94417166894464,11.967392008082154,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,heldout-single-192,last_token_latency_ms,30,30,5153.813978,4537.326223,11.938557655569578,11.961777387224126,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-off,SILICON,heldout-single-192,native_forward_interval_ms,990,990,152.99795365767045,137.4894764959821,11.231219382740152,11.470158164720612,MAPE: equal correlated native intervals; WAPE: observed interval latency weighted
service-on,SOL,boundary-129,ttft_ms,30,30,356.4389673333333,9.931709000000001,97.15663602884075,97.21362984684218,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-on,SOL,boundary-129,average_tpot_ms,30,30,156.16695263555556,0.5459962666666671,99.65001765014277,99.65037656338158,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-on,SOL,boundary-129,exact_itl_ms,30,30,156.16695263555556,0.5459962666666671,99.65001765014277,99.65037656338158,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
service-on,SOL,boundary-129,output_tokens_per_second,30,30,5.935249815358062,868.0573958662351,14544.711223809423,14525.456768812803,MAPE: equal supported HTTP cohort/trial pairs; WAPE: observed-value weighted within this metric
