scope,purpose,metric,planned_points,predicted_points,observed_mean_supported,predicted_mean_supported,mape_percent,wape_percent
core,,ttft_ms,1500,1400,367.9818587732143,390.40539031214286,12.957190861476532,13.073601369922942
core,,average_tpot_ms,1500,1400,160.24950917707076,154.16665577128265,3.7934952225642755,3.8405809480120716
core,,exact_itl_ms,1500,1400,160.24950917707076,154.16665577128265,3.7934952225642755,3.8405809480120716
core,,output_tokens_per_second,1500,1400,7.972055042858721,8.111611081293939,4.105041457370462,3.623707475036651
core,,request_latency_ms,1500,1400,4161.185208639643,4049.9142521742856,3.775043535346487,3.5140100038679742
core,,last_token_latency_ms,1500,1400,4160.7074357242855,4049.9142521742856,3.7684788515932257,3.5098028292635197
core,,native_forward_interval_ms,39393,39293,158.5976757886128,155.28584330310397,2.011370321130272,2.2896683214453617
core,boundary-127,ttft_ms,100,100,346.70009082,329.02527,5.08142013728215,5.098014476487814
core,boundary-127,average_tpot_ms,100,100,158.56745925266668,150.20008933333332,5.166692856650481,5.276851857732354
core,boundary-127,exact_itl_ms,100,100,158.56745925266665,150.20008933333332,5.16669285665048,5.276851857732352
core,boundary-127,output_tokens_per_second,100,100,5.8757786232568545,6.196006139768581,5.54748145390275,5.449958840250347
core,boundary-127,request_latency_ms,100,100,2725.56182084,2582.02661,5.178645251760229,5.266261427002358
core,boundary-127,last_token_latency_ms,100,100,2725.21197961,2582.02661,5.166467889976689,5.254100256468527
core,boundary-127,native_forward_interval_ms,1700,1700,156.95512786865234,151.86907263539797,2.9709445041045663,3.281327743915723
core,boundary-128,ttft_ms,100,100,350.96853647,329.203781,5.604563711046944,6.201340920444705
core,boundary-128,average_tpot_ms,100,100,157.96375524,150.1863426666667,4.8826026318556135,4.923542468028061
core,boundary-128,exact_itl_ms,100,100,157.96375524,150.1863426666667,4.882602631855613,4.92354246802806
core,boundary-128,output_tokens_per_second,100,100,5.883906972996552,6.196052611720811,5.36272614469301,5.305074335077208
core,boundary-128,request_latency_ms,100,100,2720.77046914,2581.9989210000003,5.048490902865778,5.100450394989165
core,boundary-128,last_token_latency_ms,100,100,2720.42486507,2581.9989210000003,5.0364307774776425,5.08839431102751
core,boundary-128,native_forward_interval_ms,1700,1700,156.65930972828585,151.8706822998273,2.8749383630259246,3.100556366105428
core,boundary-129,ttft_ms,100,100,346.94585194,331.25618,4.504932384235018,4.522224967460724
core,boundary-129,average_tpot_ms,100,100,158.256609044,150.1219966666667,5.082181697077415,5.140140703426576
core,boundary-129,exact_itl_ms,100,100,158.256609044,150.1219966666667,5.082181697077416,5.140140703426577
core,boundary-129,output_tokens_per_second,100,100,5.882832427109039,6.193443643674359,5.332701628420105,5.279960298273571
core,boundary-129,request_latency_ms,100,100,2721.14101792,2583.08613,5.025857202627522,5.073419091875172
core,boundary-129,last_token_latency_ms,100,100,2720.7949876,2583.08613,5.01378117406166,5.0613463428007845
core,boundary-129,native_forward_interval_ms,1700,1700,156.67815654081457,151.88998936082876,2.919125831970855,3.1233512306593174
core,engram-distinct-text,ttft_ms,100,100,402.71052182,499.6213303,26.043867788377472,24.069776893816936
core,engram-distinct-text,average_tpot_ms,100,100,164.10950955451614,160.35344032258064,2.342980457197807,2.4462670642978788
core,engram-distinct-text,exact_itl_ms,100,100,164.10950955451614,160.35344032258064,2.342980457197808,2.4462670642978797
core,engram-distinct-text,output_tokens_per_second,100,100,11.669110420570354,11.538071636093395,2.5305120334631717,2.485953591476824
core,engram-distinct-text,request_latency_ms,100,100,5490.797195665,5470.5779803,2.1062462584970962,2.1781345297076733
core,engram-distinct-text,last_token_latency_ms,100,100,5490.10531801,5470.5779803,2.108446953594545,2.1800646424280843
core,engram-distinct-text,native_forward_interval_ms,3342,3342,160.8998877698258,158.5322015809128,1.4628806742278038,1.8522422397008436
core,engram-repeated-text,ttft_ms,100,100,411.87821913,499.500898945,24.310499959211583,22.48039958038555
core,engram-repeated-text,average_tpot_ms,100,100,163.83013055048386,160.34953788709674,2.189324114293933,2.2170665488985684
core,engram-repeated-text,exact_itl_ms,100,100,163.83013055048386,160.34953788709674,2.1893241142939335,2.2170665488985692
core,engram-repeated-text,output_tokens_per_second,100,100,11.660847049528469,11.538572693932784,2.1293401622004384,2.140395800469811
core,engram-repeated-text,request_latency_ms,100,100,5491.325487485,5470.336573444999,1.9888122619083133,2.0039918599033975
core,engram-repeated-text,last_token_latency_ms,100,100,5490.612266195,5470.336573444999,1.9892253863196638,2.0041471210324193
core,engram-repeated-text,native_forward_interval_ms,3348,3348,160.57581035837336,158.56752033529887,1.349381951780174,1.5673004866382458
core,heldout-burst-192,ttft_ms,100,100,389.10402187,498.15313256999997,29.6847144803569,28.02569610458393
